Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - ELO4934220.1	specific	340874	41	450	1.122e-59	199.365	cd17316	MFS_SV2_like	 - 	cl28910
Q#1 - ELO4934220.1	superfamily	475125	41	450	1.122e-59	199.365	cl28910	MFS superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	273327	31	425	9.06172e-55	187.564	TIGR00895	2A0115	 - 	cl36764
Q#1 - ELO4934220.1	superfamily	273327	31	425	9.06172e-55	187.564	cl36764	2A0115 superfamily	 - 	 - 
Q#1 - ELO4934220.1	specific	441872	31	456	1.46787e-43	156.954	COG2271	UhpC	 - 	cl34453
Q#1 - ELO4934220.1	superfamily	441872	31	456	1.46787e-43	156.954	cl34453	UhpC superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340929	49	455	1.13039e-40	149.76	cd17371	MFS_MucK	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	273328	61	462	1.84115e-40	151.707	TIGR00898	2A0119	N	cl36765
Q#1 - ELO4934220.1	superfamily	273328	61	462	1.84115e-40	151.707	cl36765	2A0119 superfamily	N	 - 
Q#1 - ELO4934220.1	non-specific	395036	76	465	1.01621e-39	148.574	pfam00083	Sugar_tr	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340923	41	448	2.21781e-39	145.421	cd17365	MFS_PcaK_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	442063	31	416	1.8648e-32	126.242	COG2814	AraJ	 - 	cl43718
Q#1 - ELO4934220.1	superfamily	442063	31	416	1.8648e-32	126.242	cl43718	AraJ superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340916	60	462	3.20036e-32	127.306	cd17358	MFS_GLUT6_8_Class3_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	273317	42	463	1.38011e-30	123.603	TIGR00879	SP	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340883	43	452	3.45325e-30	120.759	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340875	64	451	2.02273e-29	117.682	cd17317	MFS_SLC22	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	440245	25	221	2.14782e-28	113.753	COG0477	ProP	C	cl43153
Q#1 - ELO4934220.1	superfamily	440245	25	221	2.14782e-28	113.753	cl43153	ProP superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	441825	41	459	4.71928e-28	114.978	COG2223	NarK	 - 	cl43649
Q#1 - ELO4934220.1	superfamily	441825	41	459	4.71928e-28	114.978	cl43649	NarK superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340917	57	454	5.91616e-28	114.587	cd17359	MFS_XylE_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	429598	43	418	3.37958e-26	108.659	pfam07690	MFS_1	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	236927	56	450	4.49535e-25	106.585	PRK11551	PRK11551	 - 	cl36029
Q#1 - ELO4934220.1	superfamily	236927	56	450	4.49535e-25	106.585	cl36029	PRK11551 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	179668	50	444	5.43459e-25	107.476	PRK03893	PRK03893	 - 	cl32048
Q#1 - ELO4934220.1	superfamily	179668	50	444	5.43459e-25	107.476	cl32048	PRK03893 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	349949	43	449	6.9093e-24	102.89	cd06174	MFS	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	130366	38	302	1.79213e-23	103.903	TIGR01299	synapt_SV2	NC	cl31090
Q#1 - ELO4934220.1	superfamily	130366	38	302	1.79213e-23	103.903	cl31090	synapt_SV2 superfamily	NC	 - 
Q#1 - ELO4934220.1	non-specific	340997	42	302	3.83832e-23	101.645	cd17439	MFS_SV2A	C	cl28910
Q#1 - ELO4934220.1	non-specific	340914	76	463	1.20243e-22	99.6324	cd17356	MFS_HXT	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340996	41	302	1.47848e-22	99.997	cd17438	MFS_SV2B	C	cl28910
Q#1 - ELO4934220.1	non-specific	129965	34	464	3.17606e-22	99.0323	TIGR00887	2A0109	 - 	cl31035
Q#1 - ELO4934220.1	superfamily	129965	34	464	3.17606e-22	99.0323	cl31035	2A0109 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340921	42	302	4.64586e-21	95.6336	cd17363	MFS_SV2	C	cl28910
Q#1 - ELO4934220.1	non-specific	341042	43	451	3.48778e-20	91.8867	cd17489	MFS_YfcJ_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340922	41	456	4.85857e-20	91.5703	cd17364	MFS_PhT	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340998	42	302	5.87828e-20	92.2832	cd17440	MFS_SV2C	C	cl28910
Q#1 - ELO4934220.1	non-specific	182225	59	464	1.49998e-19	90.9077	PRK10077	xylE	 - 	cl32455
Q#1 - ELO4934220.1	superfamily	182225	59	464	1.49998e-19	90.9077	cl32455	xylE superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340882	42	449	1.10382e-18	87.2196	cd17324	MFS_NepI_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340873	69	454	1.89301e-18	86.4741	cd17315	MFS_GLUT_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	440501	33	451	9.34066e-18	84.9056	COG0738	FucP	 - 	cl43255
